date,selection,odds,result,spread_line,spread_odds,spread_result,ou_line,ou_odds,ou_result,total_points,location
2012-11-02,Phoenix,-182.0,1,-4.42,-108.0,7.42,195.33,-108.0,-14.330000000000013,181.0,home
2012-11-03,Denver,351.6,0,8.42,-108.0,-11.42,200.17,-109.17,34.83000000000001,235.0,away
2012-11-03,Golden State,365.0,1,8.42,-107.67,-4.42,197.0,-108.17,27.0,224.0,away
2012-11-03,Chicago,-569.0,0,-9.42,-108.5,2.42,182.08,-108.17,-11.080000000000013,171.0,home
2012-11-03,Washington,204.0,0,5.5,-108.17,-8.5,191.83,-110.33,-16.830000000000013,175.0,home
2012-11-03,Boston,-237.0,1,-5.5,-108.5,8.5,191.83,-106.33,-16.830000000000013,175.0,away
2012-11-03,Indiana,-345.0,1,-7.33,-106.83,15.33,189.5,-108.0,14.5,204.0,home
2012-11-03,L.A. Clippers,-452.0,0,-8.42,-109.0,4.42,197.0,-108.83,27.0,224.0,home
2012-11-03,Brooklyn,-226.4,1,-6.0,-107.83,13.0,193.58,-109.0,13.419999999999987,207.0,home
2012-11-03,Miami,-429.0,1,-8.42,-108.67,11.42,200.17,-107.5,34.83000000000001,235.0,home
2012-11-03,Sacramento,290.0,0,7.33,-109.83,-15.33,189.5,-108.67,14.5,204.0,away
2012-11-03,Utah,280.2,0,7.5,-108.83,-17.5,201.33,-110.0,8.669999999999987,210.0,away
2012-11-03,Dallas,-590.0,1,-10.0,-107.83,37.0,186.83,-109.5,38.16999999999999,225.0,home
2012-11-03,Houston,-231.0,0,-5.42,-107.5,-4.58,205.75,-107.33,-25.75,180.0,home
2012-11-03,San Antonio,-339.0,1,-7.5,-109.5,17.5,201.33,-108.33,8.669999999999987,210.0,home
2012-11-03,Charlotte,450.0,0,10.0,-110.5,-37.0,186.83,-108.83,38.16999999999999,225.0,away
2012-11-03,Toronto,196.8,0,6.0,-108.83,-13.0,193.58,-107.67,13.419999999999987,207.0,away
2012-11-03,Cleveland,250.2,0,6.67,-109.17,-9.67,196.33,-110.0,10.669999999999987,207.0,away
2012-11-03,Milwaukee,-296.0,1,-6.67,-109.17,9.67,196.33,-108.33,10.669999999999987,207.0,home
2012-11-03,Portland,199.4,1,5.42,-109.17,4.58,205.75,-109.33,-25.75,180.0,away
2012-11-03,New Orleans,446.4,1,9.42,-108.17,-2.42,182.08,-108.5,-11.080000000000013,171.0,away
2012-11-04,New York,-164.2,1,-3.83,-109.5,19.83,188.17,-107.5,-4.1699999999999875,184.0,home
2012-11-04,Minnesota,138.0,0,3.5,-109.17,-22.5,189.75,-110.0,1.25,191.0,away
2012-11-04,Philadelphia,147.0,0,3.83,-107.17,-19.83,188.17,-109.17,-4.1699999999999875,184.0,away
2012-11-04,Toronto,-157.0,1,-3.5,-109.17,22.5,189.75,-108.33,1.25,191.0,home
2012-11-04,Orlando,-109.75,1,-0.58,-107.33,21.58,193.0,-108.83,16.0,209.0,home
2012-11-04,Phoenix,-55.25,0,0.58,-110.83,-21.58,193.0,-107.83,16.0,209.0,away
2012-11-04,L.A. Lakers,-391.2,1,-7.92,-110.5,36.92,190.75,-108.33,-3.75,187.0,home
2012-11-04,Detroit,325.2,0,7.92,-107.0,-36.92,190.75,-108.33,-3.75,187.0,away
2012-11-04,Oklahoma City,-539.0,0,-9.17,-108.67,0.16999999999999993,198.83,-108.5,0.1699999999999875,199.0,home
2012-11-04,Atlanta,427.2,1,9.17,-108.0,-0.16999999999999993,198.83,-109.67,0.1699999999999875,199.0,away
2012-11-05,Philadelphia,-139.5,0,-2.67,-111.67,-19.33,185.0,-108.67,13.0,198.0,home
2012-11-05,New York,121.25,1,2.67,-106.67,19.33,185.0,-109.67,13.0,198.0,away
2012-11-05,Brooklyn,-370.8,0,-7.92,-107.0,-3.08,194.25,-109.67,8.75,203.0,home
2012-11-05,Minnesota,310.0,1,7.92,-109.67,3.08,194.25,-107.0,8.75,203.0,away
2012-11-05,Miami,-1486.25,1,-12.75,-107.5,37.75,201.75,-107.0,21.25,223.0,home
2012-11-05,Phoenix,1043.75,0,12.75,-109.17,-37.75,201.75,-109.67,21.25,223.0,away
2012-11-05,L.A. Clippers,-675.0,0,-9.92,-105.33,2.92,198.75,-107.0,10.25,209.0,home
2012-11-05,Memphis,-206.0,1,-5.17,-109.5,14.17,194.92,-108.5,2.0800000000000125,197.0,home
